product_name,review_text,star_rating,price,sentiment
Smartphone A,Battery drains too fast,2,299.99,NEGATIVE
Smartphone B,Amazing camera and battery,5,399.99,POSITIVE
Smartphone C,Screen quality is decent,3,349.99,POSITIVE
Smartphone D,Excellent value for money,5,279.5,POSITIVE
Smartphone E,Too bulky and slow,2,199.0,NEGATIVE
Smartphone F,Love the design and speed,4,429.99,POSITIVE
Smartphone G,Crashes often,1,249.99,NEGATIVE
Smartphone H,Battery lasts all day,5,379.99,NEGATIVE
Smartphone I,Decent phone for the price,4,319.0,POSITIVE
Smartphone J,Camera is just okay,3,289.0,POSITIVE
Smartphone K,Fingerprint sensor doesn't work,1,209.99,NEGATIVE
Smartphone L,Great screen resolution,4,359.49,POSITIVE
Smartphone M,Speaker is not loud enough,2,189.99,NEGATIVE
Smartphone N,Performance is top-notch,5,499.99,POSITIVE
Smartphone O,Gets hot quickly,2,239.99,POSITIVE
Smartphone P,Build quality feels premium,4,369.0,POSITIVE
Smartphone Q,Display brightness is low,3,259.0,NEGATIVE
Smartphone R,Blazing fast performance,5,459.0,POSITIVE
Smartphone S,Not worth the price,2,299.0,NEGATIVE
Smartphone T,UI is smooth and clean,4,389.0,POSITIVE
Smartphone U,Too many pre-installed apps,2,279.99,NEGATIVE
Smartphone V,Excellent gaming performance,5,479.0,POSITIVE
Smartphone W,Laggy and unresponsive,1,209.0,NEGATIVE
Smartphone X,Great features for the price,4,329.0,POSITIVE
Smartphone Y,Touchscreen is unresponsive,2,199.0,NEGATIVE
Smartphone Z,Very lightweight and fast,5,419.0,POSITIVE
Smartphone AA,Feels outdated,2,189.0,NEGATIVE
Smartphone AB,Battery charges quickly,5,359.0,NEGATIVE
Smartphone AC,No headphone jack,3,339.0,NEGATIVE
Smartphone AD,Perfect for daily use,4,299.0,POSITIVE
Smartphone AE,Low camera quality,2,219.0,NEGATIVE
Smartphone AF,Sleek design and fast charging,5,389.0,POSITIVE
Smartphone AG,Software bugs everywhere,1,199.0,NEGATIVE
Smartphone AH,Face unlock is super fast,4,349.0,POSITIVE
Smartphone AI,Feels cheap,2,189.0,NEGATIVE
Smartphone AJ,Very responsive UI,5,449.0,POSITIVE
Smartphone AK,Camera over-processes images,3,289.0,NEGATIVE
Smartphone AL,Heavy and hard to hold,2,259.0,NEGATIVE
Smartphone AM,Love the customization options,4,319.0,POSITIVE
Smartphone AN,Screen cracks easily,1,209.0,NEGATIVE
Smartphone AO,All-day battery life,5,369.0,NEGATIVE
Smartphone AP,Fingerprint sensor is slow,3,299.0,NEGATIVE
Smartphone AQ,Fast processor and smooth UI,5,459.0,POSITIVE
Smartphone AR,Low-light photos are poor,2,249.0,NEGATIVE
Smartphone AS,Great for students,4,319.0,POSITIVE
Smartphone AT,Camera bump is too big,3,289.0,NEGATIVE
Smartphone AU,Nice display but weak battery,3,269.0,NEGATIVE
Smartphone AV,Perfect size and weight,5,379.0,POSITIVE
Smartphone AW,Glitchy apps and random reboots,1,199.0,NEGATIVE
Smartphone AX,Stylish and functional,4,329.0,POSITIVE
Smartphone AY,Frequent software updates,5,399.0,POSITIVE
Smartphone AZ,Plastic back feels cheap,2,219.0,NEGATIVE
Smartphone BA,Beast for multitasking,5,489.0,POSITIVE
Smartphone BB,Very bad camera,1,189.0,NEGATIVE
Smartphone BC,Solid build and display,4,359.0,POSITIVE
Smartphone BD,Lots of bloatware,2,249.0,NEGATIVE
Smartphone BE,Works flawlessly,5,429.0,POSITIVE
Smartphone BF,Display not visible in sunlight,2,219.0,NEGATIVE
Smartphone BG,Fantastic camera modes,5,479.0,POSITIVE
Smartphone BH,Choppy scrolling,2,239.0,NEGATIVE
Smartphone BI,Love the clean OS,4,339.0,POSITIVE
Smartphone BJ,Signal drops often,1,199.0,NEGATIVE
Smartphone BK,Vivid screen and smooth UI,5,399.0,POSITIVE
Smartphone BL,No water resistance,3,289.0,NEGATIVE
Smartphone BM,Performance is laggy,2,219.0,NEGATIVE
Smartphone BN,Face ID works great,4,379.0,POSITIVE
Smartphone BO,Battery is average,3,289.0,NEGATIVE
Smartphone BP,Great camera in daylight,4,349.0,POSITIVE
Smartphone BQ,Horrible customer support,1,199.0,NEGATIVE
Smartphone BR,Efficient and powerful,5,449.0,POSITIVE
Smartphone BS,Touch sensitivity is off,2,249.0,NEGATIVE
Smartphone BT,Loving the features,5,469.0,POSITIVE
Smartphone BU,Keeps freezing,1,189.0,NEGATIVE
Smartphone BV,Looks premium and works well,4,389.0,POSITIVE
Smartphone BW,Lacks wireless charging,3,269.0,NEGATIVE
Smartphone BX,Affordable and reliable,4,309.0,POSITIVE
Smartphone BY,Shutter lag in camera,3,259.0,NEGATIVE
Smartphone BZ,Incredible battery backup,5,479.0,POSITIVE
Smartphone CA,Not durable at all,1,199.0,NEGATIVE
Smartphone CB,Love the display quality,4,349.0,POSITIVE
Smartphone CC,Vibration motor is weak,2,229.0,NEGATIVE
Smartphone CD,Great for the price,5,399.0,POSITIVE
Smartphone CE,Too many ads in the UI,2,209.0,NEGATIVE
Smartphone CF,Smooth performance,4,319.0,POSITIVE
Smartphone CG,Very outdated OS,2,189.0,NEGATIVE
Smartphone CH,Perfect for photography,5,499.0,POSITIVE
Smartphone CI,Heating issues during charging,2,239.0,NEGATIVE
Smartphone CJ,Display is crisp and clear,5,429.0,POSITIVE
Smartphone CK,Buttons feel cheap,2,199.0,NEGATIVE
Smartphone CL,Nice sound quality,4,349.0,POSITIVE
Smartphone CM,Bad after-sales service,1,189.0,NEGATIVE
Smartphone CN,Color options are great,4,309.0,POSITIVE
Smartphone CO,No updates available,2,219.0,NEGATIVE
Smartphone CP,Excellent selfie camera,5,399.0,POSITIVE
Smartphone CQ,Microphone doesn't work well,1,199.0,NEGATIVE
Smartphone CR,Really happy with the purchase,5,459.0,POSITIVE
Smartphone CS,Super slow charging,2,209.0,NEGATIVE
Smartphone CT,Simple and reliable,4,329.0,POSITIVE
Smartphone CU,Camera lacks detail,3,289.0,NEGATIVE
Smartphone CV,UI lags frequently,2,249.0,NEGATIVE
Smartphone CW,Face unlock is glitchy,2,239.0,NEGATIVE
Smartphone CX,Gaming performance is solid,4,369.0,POSITIVE
Smartphone CY,No fast charging,2,219.0,NEGATIVE
Smartphone CZ,Excellent screen to body ratio,5,449.0,POSITIVE
